Ts,ActP
1639574100,0
1639574101,0
1639574102,0
1639574103,0
1639574105,0
1639574105,0
1639574106,0
1639574107,0
1639574108,0
1639574110,0
1639574110,0
1639574111,0
1639574112,0
1639574113,0
1639574114,0
1639574115,0
1639574116,0
1639574117,0
1639574118,0
1639574119,0
1639574120,0
1639574121,0
1639574122,0
1639574124,0
1639574124,0
1639574125,0
1639574126,0
1639574127,0
1639574128,0
1639574129,0
1639574130,0
1639574131,0
1639574132,0
1639574133,0
1639574134,0
1639574135,0
1639574136,0
1639574137,0
1639574138,0
1639574139,0
1639574140,0
1639574141,0
1639574142,0
1639574143,0
1639574144,0
1639574145,0
1639574146,0
1639574147,0
1639574148,0
1639574149,0
1639574150,0
1639574151,0
1639574152,0
1639574153,0
1639574154,0
1639574155,0
1639574156,0
1639574157,0
1639574158,0
1639574159,0
1639574160,0
1639574161,0
1639574162,0
1639574163,0
1639574164,0
1639574165,0
1639574166,0
1639574167,0
1639574169,0
1639574170,0
1639574170,0
1639574171,0
1639574172,0
1639574173,0
1639574174,0
1639574175,0
1639574176,0
1639574177,0
1639574178,0
1639574179,0
1639574180,0
1639574181,0
1639574182,0
1639574183,0
1639574184,0
1639574185,0
1639574186,0
1639574187,0
1639574188,0
1639574189,0
1639574190,0
1639574191,0
1639574192,0
1639574193,0
1639574194,0
1639574195,0
1639574196,0
1639574197,0
1639574198,0
1639574200,0
1639574200,0
1639574201,0
1639574202,0
1639574203,0
1639574204,0
1639574205,0
1639574206,0
1639574207,0
1639574208,0
1639574209,0
1639574210,0
1639574211,0
1639574212,0
1639574213,0
1639574214,0
1639574215,0
1639574216,0
1639574217,0
1639574218,0
1639574219,0
1639574220,0
1639574221,0
1639574222,0
1639574223,0
1639574224,0
1639574226,0
1639574227,0
1639574227,0
1639574228,0
1639574229,0
1639574230,0
1639574231,0
1639574232,0
1639574233,0
1639574234,0
1639574235,0
1639574236,0
1639574237,0
1639574238,0
1639574239,0
1639574240,0
1639574241,0
1639574242,0
1639574243,0
1639574244,0
1639574245,0
1639574246,0
1639574247,0
1639574248,0
1639574249,0
1639574250,0
1639574251,0
1639574252,0
1639574253,0
1639574254,0
1639574255,0
1639574257,0
1639574257,0
1639574258,0
1639574259,0
1639574260,0
1639574261,0
1639574262,0
1639574263,0
1639574264,0
1639574288,0
1639574288,0
1639574288,0
1639574288,0
1639574288,0
1639574288,0
1639574288,0
1639574304,0
1639574305,0
1639574306,0
1639574308,0
1639574308,0
1639574309,0
1639574310,0
1639574312,0
1639574313,0
1639574313,0
1639574314,0
1639574315,0
1639574316,0
1639574317,0
1639574318,0
1639574319,0
1639574320,0
1639574321,0
1639574322,0
1639574323,0
1639574324,0
1639574325,0
1639574326,0
1639574327,0
1639574328,0
1639574329,0
1639574330,0
1639574332,0
1639574332,0
1639574333,0
1639574334,0
1639574335,0
1639574336,0
1639574337,0
1639574338,0
1639574339,0
1639574340,0
1639574341,0
1639574342,0
1639574343,0
1639574344,0
1639574345,0
1639574346,0
1639574347,0
1639574348,0
1639574349,0
1639574350,0
1639574351,0
1639574352,0
1639574353,0
1639574354,0
1639574355,0
1639574356,0
1639574357,0
1639574358,0
1639574359,0
1639574360,0
1639574361,0
1639574362,0
1639574363,0
1639574364,0
1639574365,0
1639574366,0
1639574367,0
1639574368,0
1639574369,0
1639574370,0
1639574371,0
1639574372,0
1639574373,0
1639574374,0
1639574375,0
1639574376,0
1639574377,0
1639574378,0
1639574379,0
1639574380,0
1639574381,0
1639574382,0
1639574383,0
1639574384,0
1639574385,0
1639574386,0
1639574387,0
1639574388,0
1639574389,0
1639574390,0
1639574391,0
1639574392,0
1639574393,0
1639574394,0
1639574395,0
1639574396,0
1639574397,0
1639574398,0
1639574399,0
1639574400,0
1639574401,0
1639574402,0
1639574403,0
1639574404,0
1639574405,0
1639574406,0
1639574407,0
1639574408,0
1639574409,0
1639574410,0
1639574411,0
1639574412,0
1639574413,0
1639574414,0
1639574415,0
1639574416,0
1639574417,0
1639574418,0
1639574419,0
1639574420,0
1639574421,0
1639574422,0
1639574423,0
1639574424,0
1639574425,0
1639574426,0
1639574427,0
1639574428,0
1639574429,0
1639574430,0
1639574431,0
1639574432,0
1639574433,0
1639574434,0
1639574435,0
1639574436,0
1639574437,0
1639574438,0
1639574439,0
1639574440,0
1639574441,0
1639574442,0
1639574443,0
1639574444,0
1639574445,0
1639574446,0
1639574447,0
1639574448,0
1639574449,0
1639574450,0
1639574451,0
1639574452,0
1639574453,0
1639574454,0
1639574455,0
1639574456,0
1639574457,0
1639574458,0
1639574459,0
1639574460,0
1639574461,0
1639574462,0
1639574463,0
1639574464,0
1639574465,0
1639574466,0
1639574467,0
1639574468,0
1639574469,0
1639574470,0
1639574471,0
1639574472,0
1639574473,0
1639574474,0
1639574475,0
1639574476,0
1639574477,0
1639574478,0
1639574479,0
1639574480,0
1639574481,0
1639574482,0
1639574483,0
1639574484,0
1639574485,0
1639574486,0
1639574487,0
1639574488,0
1639574489,0
1639574490,0
1639574491,0
1639574492,125
1639574493,12
1639574494,7
1639574495,12
1639574496,11
1639574497,11
1639574499,11
1639574499,11
1639574500,11
1639574501,11
1639574502,10
1639574503,10
1639574504,10
1639574505,10
1639574506,10
1639574507,10
1639574508,10
1639574509,4
1639574510,4
1639574511,4
1639574512,4
1639574513,4
1639574514,4
1639574515,10
1639574516,10
1639574517,10
1639574518,10
1639574519,10
1639574520,10
1639574521,10
1639574522,10
1639574523,10
1639574524,10
1639574525,10
1639574526,10
1639574527,10
1639574528,10
1639574529,10
1639574530,10
1639574531,10
1639574532,10
1639574533,10
1639574534,10
1639574535,10
1639574536,10
1639574537,10
1639574538,10
1639574539,10
1639574540,10
1639574541,10
1639574545,10
1639574545,10
1639574545,10
1639574545,10
1639574546,10
1639574547,10
1639574549,10
1639574550,10
1639574550,10
1639574551,10
1639574552,10
1639574553,10
1639574554,10
1639574555,10
1639574562,10
1639574562,10
1639574562,10
1639574562,10
1639574562,10
1639574562,10
1639574562,10
1639574563,148
1639574564,144
1639574565,135
1639574566,135
1639574567,133
1639574568,129
1639574569,129
1639574571,134
1639574571,134
1639574572,131
1639574573,130
1639574574,129
1639574575,4
1639574576,4
1639574577,4
1639574578,4
1639574579,3
1639574580,3
1639574581,3
1639574583,3
1639574584,3
1639574584,3
1639574585,3
1639574588,134
1639574588,134
1639574588,134
1639574591,127
1639574591,127
1639574591,131
1639574592,131
1639574593,133
1639574594,128
1639574595,128
1639574596,99
1639574597,99
1639574598,4
1639574599,4
1639574603,3
1639574603,3
1639574603,3
1639574604,3
1639574604,3
1639574605,3
1639574606,3
1639574607,3
1639574608,104
1639574609,131
1639574610,135
1639574611,129
1639574613,127
1639574613,127
1639574614,127
1639574615,127
1639574620,4
1639574620,4
1639574620,4
1639574620,4
1639574620,4
1639574621,4
1639574622,3
1639574624,3
1639574624,3
1639574626,3
1639574626,3
1639574628,3
1639574628,3
1639574629,3
1639574630,121
1639574631,138
1639574632,132
1639574633,130
1639574634,131
1639574635,132
1639574636,131
1639574637,134
1639574638,134
1639574639,133
1639574640,129
1639574641,4
1639574642,4
1639574643,4
1639574645,3
1639574645,3
1639574646,3
1639574647,3
1639574648,3
1639574650,3
1639574650,3
1639574651,3
1639574652,145
1639574653,129
1639574654,130
1639574655,128
1639574656,126
1639574658,131
1639574658,131
1639574659,131
1639574660,128
1639574661,130
1639574662,127
1639574663,4
1639574664,4
1639574665,4
1639574666,4
1639574667,3
1639574668,3
1639574669,3
1639574670,3
1639574671,3
1639574672,3
1639574673,3
1639574674,141
1639574675,133
1639574676,133
1639574677,130
1639574679,130
1639574679,130
1639574680,130
1639574681,133
1639574682,130
1639574683,129
1639574684,130
1639574685,102
1639574686,3
1639574687,3
1639574688,3
1639574689,3
1639574690,3
1639574692,3
1639574692,3
1639574693,3
1639574694,3
1639574695,3
1639574696,110
1639574697,132
1639574698,129
1639574699,126
1639574700,129
1639574701,128
1639574703,125
1639574703,127
1639574704,126
1639574705,126
1639574706,127
1639574707,127
1639574708,3
1639574709,3
1639574710,3
1639574711,3
1639574712,3
1639574713,3
1639574714,3
1639574715,3
1639574716,3
1639574717,3
1639574718,103
1639574719,137
1639574720,132
1639574721,129
1639574722,132
1639574723,129
1639574724,131
1639574725,132
1639574726,132
1639574727,128
1639574728,129
1639574729,129
1639574730,3
1639574731,4
1639574732,3
1639574733,3
1639574734,3
1639574735,3
1639574736,3
1639574737,3
1639574738,3
1639574739,3
1639574740,112
1639574741,129
1639574742,128
1639574743,129
1639574744,127
1639574745,125
1639574746,125
1639574747,125
1639574748,128
1639574749,129
1639574750,125
1639574751,125
1639574753,4
1639574753,4
1639574754,4
1639574755,3
1639574756,3
1639574757,3
1639574758,3
1639574759,3
1639574760,3
1639574761,3
1639574762,133
1639574763,133
1639574765,128
1639574765,128
1639574766,127
1639574767,130
1639574768,130
1639574769,133
1639574770,129
1639574771,131
1639574772,127
1639574775,3
1639574775,3
1639574775,3
1639574776,3
1639574777,3
1639574778,3
1639574779,3
1639574780,3
1639574781,3
1639574784,134
1639574785,134
1639574785,134
1639574785,134
1639574786,128
1639574787,128
1639574788,129
1639574789,129
1639574790,125
1639574791,126
1639574792,126
1639574793,128
1639574794,125
1639574795,77
1639574796,3
1639574797,3
1639574798,3
1639574800,3
1639574801,3
1639574801,3
1639574802,3
1639574803,3
1639574804,3
1639574805,3
1639574806,112
1639574811,128
1639574811,128
1639574811,128
1639574811,128
1639574811,128
1639574812,127
1639574813,133
1639574814,128
1639574815,127
1639574816,129
1639574817,125
1639574820,3
1639574820,3
1639574820,3
1639574821,3
1639574822,3
1639574823,3
1639574824,3
1639574825,3
1639574826,3
1639574827,3
1639574828,114
1639574829,126
1639574830,127
1639574831,128
1639574832,127
1639574833,127
1639574834,127
1639574837,126
1639574837,126
1639574837,126
1639574838,127
1639574840,3
1639574840,3
1639574841,3
1639574842,3
1639574843,3
1639574844,3
1639574845,3
1639574846,3
1639574847,3
1639574848,3
1639574849,3
1639574850,115
1639574851,130
1639574852,128
1639574853,125
1639574854,129
1639574855,128
1639574856,129
1639574857,127
1639574858,126
1639574860,129
1639574860,129
1639574861,95
1639574862,3
1639574863,3
1639574866,3
1639574866,3
1639574866,3
1639574867,3
1639574868,3
1639574870,3
1639574870,3
1639574871,3
1639574872,138
1639574873,129
1639574874,120
1639574875,124
1639574876,126
1639574877,126
1639574878,127
1639574879,128
1639574880,124
1639574881,125
1639574882,125
1639574886,3
1639574886,3
1639574886,3
1639574886,3
1639574887,3
1639574888,3
1639574890,3
1639574890,3
1639574891,3
1639574892,3
1639574894,123
1639574894,123
1639574895,128
1639574896,128
1639574897,128
1639574898,128
1639574899,130
1639574901,132
1639574901,132
1639574902,127
1639574903,130
1639574904,127
1639574905,47
1639574906,3
1639574907,3
1639574908,3
1639574909,3
1639574910,3
1639574911,3
1639574912,3
1639574913,3
1639574914,3
1639574915,3
1639574916,103
1639574917,122
1639574918,126
1639574919,124
1639574920,124
1639574921,124
1639574922,128
1639574923,126
1639574924,125
1639574925,127
1639574926,126
1639574928,3
1639574928,3
1639574929,3
1639574930,3
1639574931,3
1639574932,3
